parameter,avg_anomaly_scores
0.010095,-0.15041785325379553
0.010095,-0.13911774311023292
0.010095,-0.14229192281145914
0.010095,-0.13937052513858444
0.010095,-0.1457623967542601
0.06007000000000001,-0.0683096996075605
0.06007000000000001,-0.06877548416043601
0.06007000000000001,-0.06973928088952423
0.06007000000000001,-0.07009553568611954
0.06007000000000001,-0.06705969778351888
0.11004500000000002,-0.0509172108749927
0.11004500000000002,-0.05218626257683807
0.11004500000000002,-0.0519186830047461
0.11004500000000002,-0.0522934035815949
0.11004500000000002,-0.05138596817780909
0.16002000000000002,-0.04275707476163517
0.16002000000000002,-0.04149882031067369
0.16002000000000002,-0.0429047471113629
0.16002000000000002,-0.04304296649635649
0.16002000000000002,-0.04221820492556438
