parameter,avg_anomaly_scores
0.010095,-0.14726748876277382
0.010095,-0.14671421220379835
0.010095,-0.15215757797830332
0.010095,-0.13936368745480723
0.010095,-0.13866156597436255
0.06007000000000001,-0.06907514282568221
0.06007000000000001,-0.06799177352869176
0.06007000000000001,-0.07025581128107417
0.06007000000000001,-0.06748067515652406
0.06007000000000001,-0.07046201436233171
0.11004500000000002,-0.05167825016607703
0.11004500000000002,-0.05201073057310965
0.11004500000000002,-0.05295054669329379
0.11004500000000002,-0.05053600951083985
0.11004500000000002,-0.05042502656646934
0.16002000000000002,-0.044888485515183214
0.16002000000000002,-0.04267898687535121
0.16002000000000002,-0.04557320918794838
0.16002000000000002,-0.04283539056846903
0.16002000000000002,-0.04450594928379057
