parameter,avg_anomaly_scores
0.010095,-0.14414475431791995
0.02009,-0.13225980979064658
0.030085,-0.1057321929313514
0.040080000000000005,-0.08940237786553575
0.05007500000000001,-0.07709294408983687
0.06007000000000001,-0.06869039364440153
0.07006500000000002,-0.0634299159077472
0.08006000000000002,-0.059437735933441004
0.09005500000000002,-0.05625632809784002
0.10005000000000003,-0.05411939459503448
0.11004500000000003,-0.052563476745616275
0.12004000000000004,-0.0516292232203382
0.13003500000000004,-0.05033864071419639
0.14003000000000004,-0.048820637963269006
0.15002500000000005,-0.047420003914400106
0.16002000000000005,-0.04624068284224065
0.17001500000000005,-0.04532678906297456
0.18001000000000006,-0.04434632392416737
0.19000500000000006,-0.043348313088394146
0.20000000000000007,-0.04246727907087545
