parameter,avg_anomaly_scores
0.010095,-0.15497148374124442
0.010095,-0.14529019012610483
0.010095,-0.14563001713179133
0.010095,-0.14326872827639847
0.010095,-0.14173415549604346
0.06007000000000001,-0.0695371280613275
0.06007000000000001,-0.06742838547929261
0.06007000000000001,-0.06859240134873926
0.06007000000000001,-0.06853986225451929
0.06007000000000001,-0.06935317282073396
0.11004500000000002,-0.05250933345808201
0.11004500000000002,-0.05060691611379556
0.11004500000000002,-0.051390773772606736
0.11004500000000002,-0.052151482824238045
0.11004500000000002,-0.05073638299667917
0.16002000000000002,-0.04268807077048605
0.16002000000000002,-0.043226818437323025
0.16002000000000002,-0.04318026128648002
0.16002000000000002,-0.04283097760675437
0.16002000000000002,-0.04282845078548434
